,name,raw_wp_url,pdf_url
83,rocket_pool,https://whitepaper.io/document/551/rocket-pool-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ1d-Z478
84,reserve_rights,https://whitepaper.io/document/492/reserve-rights-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByvvJWRXr
85,omisego,https://whitepaper.io/document/7/omisego-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJhNJDu6M
86,harmony,https://whitepaper.io/document/512/harmony-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkVJ0H1W8
87,iostoken,https://whitepaper.io/document/28/iostoken-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1AcQeAaM
88,zeon,https://whitepaper.io/document/550/zeon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1mSJZV7L
89,chain,https://whitepaper.io/document/0/chain-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=chain
90,balancer,https://whitepaper.io/document/673/balancer-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hk9DV75mu
91,0x,https://whitepaper.io/document/20/0x-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByDVN2tTf
92,bora,https://whitepaper.io/document/577/bora-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Skdp96WdL
93,symbol,https://whitepaper.io/document/0/symbol-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=symbol
94,icon,https://whitepaper.io/document/9/icon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryflf0dTf
95,just,https://whitepaper.io/document/0/just-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=just
96,zencash,https://whitepaper.io/document/88/zencash-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJnPCuWgX
97,abbc_foundation,https://whitepaper.io/document/386/abbc-foundation-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1nvnK_oE
98,serum,https://whitepaper.io/document/626/serum-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rypJch6-_
99,ontology,https://whitepaper.io/document/580/ontology-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJpb5KbnU
100,siacoin,https://whitepaper.io/document/17/siacoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJ1-joYTG
101,swipe,https://whitepaper.io/document/505/swipe-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1pq4kKlI
102,audius,https://whitepaper.io/document/663/audius-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyUDGNgQd
103,polymath,https://whitepaper.io/document/57/polymath-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyOAs3-0G
104,voyager_token,https://whitepaper.io/document/638/voyager-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkJSEa0W_
105,chia_network,https://whitepaper.io/document/759/chia-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bye1gl1tu
106,ergo_1,https://whitepaper.io/document/753/ergo-1-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkocViWwd
107,secret,https://whitepaper.io/document/733/secret-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyvJ9Nz8d
108,swissborg,https://whitepaper.io/document/593/swissborg-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJPYxfzbv
109,uma,https://whitepaper.io/document/620/uma-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H16_mKT-u
110,digibyte,https://whitepaper.io/document/647/digibyte-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkZ1Jx_zd
111,skale_network,https://whitepaper.io/document/670/skale-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJCOOlZ7O
112,civic,https://whitepaper.io/document/607/civic-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1-By9S5D
113,keep_network,https://whitepaper.io/document/667/keep-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1gqmgbmu
114,storj,https://whitepaper.io/document/0/storj-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=storj
115,medibloc,https://whitepaper.io/document/176/medibloc-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJfj8Of-7
116,ceek_vr,https://whitepaper.io/document/298/ceek-vr-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rk-Z__wWm
117,ultra,https://whitepaper.io/document/570/ultra-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H18n5SBX8
118,humanscape,https://whitepaper.io/document/449/humanscape-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sy03to2R4
119,stasis_euro,https://whitepaper.io/document/748/stasis-euro-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJ7vsYxvO
120,request_network,https://whitepaper.io/document/102/request-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByeQw1BeQ
121,energy_web_token,https://whitepaper.io/document/601/energy-web-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S17AmkzFv
122,tribe,https://whitepaper.io/document/0/tribe-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=tribe
123,syscoin,https://whitepaper.io/document/53/syscoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1v1v2bAf
124,maidsafecoin,https://whitepaper.io/document/368/maidsafecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByGv7RLsV
125,conflux_network,https://whitepaper.io/document/717/conflux-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkTCZQcHu
126,bitcoin_standard_hashrate_token,https://whitepaper.io/document/731/bitcoin-standard-hashrate-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1kLVEMUu
127,ren,https://whitepaper.io/document/419/ren-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJ8pRMraV
128,celer_network,https://whitepaper.io/document/409/celer-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=By-9JN464
129,coti,https://whitepaper.io/document/592/coti-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJm1pipgP
130,mvl,https://whitepaper.io/document/610/mvl-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=S1KTa5rqP
131,wink,https://whitepaper.io/document/497/wink-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkOFUivDB
132,status,https://whitepaper.io/document/23/status-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1kfmyAaf
133,power_ledger,https://whitepaper.io/document/83/power-ledger-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyHfUdbg7
134,avinoc,https://whitepaper.io/document/0/avinoc-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=avinoc
135,ardor,https://whitepaper.io/document/35/ardor-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJZYXgJRM
136,velas,https://whitepaper.io/document/564/velas-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1WFCu47I
137,orbs,https://whitepaper.io/document/398/orbs-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HymcK36oV
138,reef,https://whitepaper.io/document/619/reef-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HkU6-FpZO
139,prometeus,https://whitepaper.io/document/664/prometeus-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1LNSVlmu
140,function_x,https://whitepaper.io/document/534/function-x-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1tSOAMQL
141,uquid_coin,https://whitepaper.io/document/324/uquid-coin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryCzejn-Q
142,ocean_protocol,https://whitepaper.io/document/595/ocean-protocol-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1kyHzG-D
143,dent,https://whitepaper.io/document/112/dent-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryj8nrHgX
144,iexec,https://whitepaper.io/document/79/iexec-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkUATVZgQ
145,numeraire,https://whitepaper.io/document/330/numeraire-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sy9rzU1zX
146,dexe,https://whitepaper.io/document/0/dexe-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=dexe
147,everscale,https://whitepaper.io/document/0/everscale-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=everscale
148,api3,https://whitepaper.io/document/736/api3-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJgMm_4Ld
149,steem,https://whitepaper.io/document/15/steem-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByuZ_cF6G
150,telcoin,https://whitepaper.io/document/154/telcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyiVWfWZQ
151,cartesi,https://whitepaper.io/document/659/cartesi-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r14C_mgmd
152,funfair,https://whitepaper.io/document/46/funfair-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hy-veP-Rz
153,bancor,https://whitepaper.io/document/52/bancor-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryWFBhWCf
154,constellation,https://whitepaper.io/document/352/constellation-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJkBN964X
155,quarkchain,https://whitepaper.io/document/135/quarkchain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1bJ4pRem
156,chromia,https://whitepaper.io/document/737/chromia-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rklUkR48O
157,wazirx,https://whitepaper.io/document/538/wazirx-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sy-MWkQ78
158,augur,https://whitepaper.io/document/29/augur-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyKAHgApG
159,raydium,https://whitepaper.io/document/662/raydium-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJgplVgQO
160,xyo,https://whitepaper.io/document/0/xyo-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=xyo
161,rakon,https://whitepaper.io/document/0/rakon-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=rakon
162,bifrost,https://whitepaper.io/document/0/bifrost-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=bifrost
163,decimal,https://whitepaper.io/document/0/decimal-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=decimal
164,metal,https://whitepaper.io/document/440/metal-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B15hmEhRE
165,whitecoin,https://whitepaper.io/document/628/whitecoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJkzTh6b_
166,nest_protocol,https://whitepaper.io/document/0/nest-protocol-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=nest-protocol
167,orchid,https://whitepaper.io/document/566/orchid-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Bkfw7FVXU
168,adshares,https://whitepaper.io/document/465/adshares-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkUSCz41B
169,aelf,https://whitepaper.io/document/33/aelf-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkcYxlkAM
170,stratis,https://whitepaper.io/document/0/stratis-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=stratis
171,nkn,https://whitepaper.io/document/148/nkn-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkmswWZWX
172,insure_defi,https://whitepaper.io/document/738/insure-defi-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJXrMR4Uu
173,origintrail,https://whitepaper.io/document/144/origintrail-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hkha4ZW-Q
174,creditcoin,https://whitepaper.io/document/654/creditcoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BJROXnkmO
175,fetch,https://whitepaper.io/document/447/fetch-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HyDMIoh0N
176,world_mobile_token,https://whitepaper.io/document/0/world-mobile-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=world-mobile-token
177,mdex,https://whitepaper.io/document/719/mdex-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rysxK7qB_
178,utrust,https://whitepaper.io/document/198/utrust-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkpNVfmW7
179,vai,https://whitepaper.io/document/0/vai-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=vai
180,rif_token,https://whitepaper.io/document/405/rif-token-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1DJUFMhN
181,venus,https://whitepaper.io/document/644/venus-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ryAt0fxfd
182,propy,https://whitepaper.io/document/288/propy-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJaMSPw-m
183,aergo,https://whitepaper.io/document/494/aergo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HJ45rFCQH
184,ark,https://whitepaper.io/document/40/ark-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rkxRolyAz
185,wirex,https://whitepaper.io/document/463/wirex-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=BkTb60-Jr
186,myneighboralice,https://whitepaper.io/document/682/myneighboralice-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1ZlsrW4_
187,alchemy_pay,https://whitepaper.io/document/0/alchemy-pay-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=alchemy-pay
188,verge,https://whitepaper.io/document/12/verge-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByHfyJKpf
189,sologenic,https://whitepaper.io/document/666/sologenic-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJ4cggbmO
190,glitzkoin,https://whitepaper.io/document/520/glitzkoin-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkN78ukZL
191,hedgetrade,https://whitepaper.io/document/579/hedgetrade-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1XAwYZn8
192,sun,https://whitepaper.io/document/661/sun-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SyPsy4gmd
193,centrality,https://whitepaper.io/document/47/centrality-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1_mzD-Az
194,celo_dollar,https://whitepaper.io/document/747/celo-dollar-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1XRuKewO
195,moviebloc,https://whitepaper.io/document/536/moviebloc-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rk_NTRzXU
196,mainframe,https://whitepaper.io/document/341/mainframe-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hk-3qiEXX
197,conun,https://whitepaper.io/document/611/conun-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SkvOyoBcP
198,somesing,https://whitepaper.io/document/0/somesing-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=somesing
199,thundercore,https://whitepaper.io/document/458/thundercore-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByuXvxC0V
200,melon,https://whitepaper.io/document/227/melon-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Sk7NzkEZX
201,polkastarter,https://whitepaper.io/document/651/polkastarter-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r15SM0AG_
202,dusk_network,https://whitepaper.io/document/545/dusk-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Syp9_rXmL
203,chainbing,https://whitepaper.io/document/0/chainbing-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=chainbing
204,verasity,https://whitepaper.io/document/0/verasity-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=verasity
205,sport_and_leisure,https://whitepaper.io/document/574/sport-and-leisure-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=ByKN-Ir7U
206,mines_of_dalarnia,https://whitepaper.io/document/0/mines-of-dalarnia-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=mines-of-dalarnia
207,ampleforth,https://whitepaper.io/document/585/ampleforth-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=H1uqo9Tew
208,gxchain,https://whitepaper.io/document/397/gxchain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=rJqUvhaiE
209,neblio,https://whitepaper.io/document/101/neblio-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1hpSJrgQ
210,strike,https://whitepaper.io/document/0/strike-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=strike
211,phala_network,https://whitepaper.io/document/640/phala-network-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=r1hL8WJMd
212,dkargo,https://whitepaper.io/document/656/dkargo-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=Hy3ABpJX_
213,yield_guild_games,https://whitepaper.io/document/0/yield-guild-games-whitepaper,https://api-new.whitepaper.io/documents/pdf?slug=yield-guild-games
214,cocos_bcx,https://whitepaper.io/document/614/cocos-bcx-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=B1nY2jBcv
215,band_protocol,https://whitepaper.io/document/589/band-protocol-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=HygB_oTeP
216,tomochain,https://whitepaper.io/document/175/tomochain-whitepaper,https://api-new.whitepaper.io/documents/pdf?id=SJnGB_zbQ
